"Municipio";"Nenhuma";"De 1 a 3 consultas";"De 4 a 6 consultas";"7 ou mais consultas";"Ignorado";"Total"
"250010 Agua Branca";2;3;13;70;-;88
"250020 Aguiar";3;2;14;34;1;54
"250030 Alagoa Grande";17;24;104;255;5;405
"250040 Alagoa Nova";6;16;70;234;3;329
"250050 Alagoinha";5;11;48;163;3;230
"250053 Alcantil";-;2;28;57;1;88
"250057 Algodao de Jandaira";-;1;10;28;-;39
"250060 Alhandra";8;35;105;215;18;381
"250073 Amparo";-;-;6;29;-;35
"250077 Aparecida";3;4;21;72;1;101
"250080 Aracagi";9;20;68;100;3;200
"250090 Arara";2;6;34;109;-;151
"250100 Araruna";8;13;110;133;1;265
"250110 Areia";6;34;112;204;6;362
"250115 Areia de Baraunas";1;-;15;17;-;33
"250120 Areial";2;2;14;78;1;97
"250130 Aroeiras";7;21;104;153;3;288
"250135 Assuncao";2;1;19;45;-;67
"250140 Baia da Traicao";1;8;61;70;6;146
"250150 Bananeiras";2;1;36;243;1;283
"250153 Barauna";1;2;6;56;-;65
"250160 Barra de Santa Rosa";6;4;37;123;-;170
"250157 Barra de Santana";-;4;25;73;3;105
"250170 Barra de Sao Miguel";-;2;29;54;1;86
"250180 Bayeux";26;123;445;734;67;1395
"250190 Belem";9;10;48;168;5;240
"250200 Belem do Brejo do Cruz";4;3;41;56;-;104
"250205 Bernardino Batista";-;-;8;38;1;47
"250210 Boa Ventura";3;2;13;32;-;50
"250215 Boa Vista";3;2;16;64;-;85
"250220 Bom Jesus";-;1;10;26;1;38
"250230 Bom Sucesso";-;1;24;20;-;45
"250240 Bonito de Santa Fe";3;8;43;100;1;155
"250250 Boqueirao";5;8;72;165;4;254
"250270 Borborema";2;3;20;46;-;71
"250280 Brejo do Cruz";2;6;41;106;-;155
"250290 Brejo dos Santos";3;1;32;40;-;76
"250300 Caapora";9;14;103;306;11;443
"250310 Cabaceiras";1;2;17;50;-;70
"250320 Cabedelo";29;68;208;639;21;965
"250330 Cachoeira dos Indios";1;7;52;75;-;135
"250340 Cacimba de Areia";-;1;13;27;-;41
"250350 Cacimba de Dentro";2;10;40;151;5;208
"250355 Cacimbas";3;4;62;62;2;133
"250360 Caicara";2;2;23;78;-;105
"250370 Cajazeiras";22;56;255;553;6;892
"250375 Cajazeirinhas";-;4;16;38;-;58
"250380 Caldas Brandao";1;5;27;50;4;87
"250390 Camalau";-;6;15;63;1;85
"250400 Campina Grande";193;452;1424;3825;204;6098
"250403 Capim";1;11;39;49;5;105
"250407 Caraubas";1;1;11;46;-;59
