 Nascidos vivos - Paraíba
Nascim p/resid.mãe por Município e Consult pré-natal
Período:2011
"Municipio";"Nenhuma";"De 1 a 3 consultas";"De 4 a 6 consultas";"7 ou mais consultas";"Ignorado";"Total"
"250010 Água Branca";1;5;48;79;-;133
"250020 Aguiar";2;-;23;41;2;68
"250030 Alagoa Grande";12;26;155;273;8;474
"250040 Alagoa Nova";10;20;122;196;4;352
"250050 Alagoinha";1;12;61;112;5;191
"250053 Alcantil";2;5;39;59;-;105
"250057 Algodão de Jandaíra";1;2;10;40;-;53
"250060 Alhandra";2;26;119;222;20;389
"250073 Amparo";-;1;11;31;-;43
"250077 Aparecida";-;4;24;73;-;101
"250080 Araçagi";3;8;69;128;2;210
"250090 Arara";5;12;70;94;1;182
"250100 Araruna";1;23;123;103;1;251
"250110 Areia";15;24;158;183;3;383
"250115 Areia de Baraúnas";-;-;18;11;-;29
"250120 Areial";1;5;15;66;-;87
"250130 Aroeiras";14;20;120;171;-;325
"250135 Assunção";2;1;10;54;-;67
"250140 Baía da Traição";-;4;55;116;19;194
"250150 Bananeiras";7;4;39;275;2;327
"250153 Baraúna";-;1;10;43;-;54
"250160 Barra de Santa Rosa";2;2;53;134;-;191
"250157 Barra de Santana";1;4;38;80;-;123
"250170 Barra de São Miguel";-;4;28;55;1;88
"250180 Bayeux";40;117;544;659;55;1415
"250190 Belém";2;10;42;191;3;248
"250200 Belém do Brejo do Cruz";3;3;29;43;1;79
"250205 Bernardino Batista";-;1;14;40;-;55
"250210 Boa Ventura";3;1;18;58;1;81
"250215 Boa Vista";2;6;23;79;1;111
"250220 Bom Jesus";2;4;13;20;-;39
"250230 Bom Sucesso";-;4;39;10;-;53
"250240 Bonito de Santa Fé";7;10;72;128;1;218
"250250 Boqueirão";7;13;116;206;1;343
"250270 Borborema";1;1;29;40;1;72
"250280 Brejo do Cruz";1;4;56;100;1;162
"250290 Brejo dos Santos";3;2;40;43;2;90
"250300 Caaporã";3;15;81;288;15;402
"250310 Cabaceiras";2;1;20;47;-;70
"250320 Cabedelo";27;60;212;567;59;925
"250330 Cachoeira dos Índios";4;13;62;76;-;155
"250340 Cacimba de Areia";-;3;17;28;-;48
"250350 Cacimba de Dentro";6;11;60;128;1;206
"250355 Cacimbas";5;11;70;44;2;132
"250360 Caiçara";2;6;26;62;2;98
"250370 Cajazeiras";19;36;229;589;6;879
"250375 Cajazeirinhas";-;4;14;53;-;71
"250380 Caldas Brandão";1;4;20;40;8;73
"250390 Camalaú";-;2;33;51;-;86
"250400 Campina Grande";498;558;1914;3139;42;6151
"250403 Capim";-;10;25;52;5;92
"250407 Caraúbas";-;2;18;36;-;56
"250410 Carrapateira";1;-;4;21;-;26
"250415 Casserengue";1;6;30;57;-;94
"250420 Catingueira";-;5;35;37;-;77
"250430 Catolé do Rocha";6;15;103;282;2;408
"250435 Caturité";4;3;20;46;1;74
"250440 Conceição";16;25;83;105;2;231
"250450 Condado";3;10;30;72;3;118
"250460 Conde";5;19;109;292;27;452
"250470 Congo";1;2;25;49;-;77
"250480 Coremas";7;19;79;98;-;203
"250485 Coxixola";1;1;8;6;-;16
"250490 Cruz do Espírito Santo";9;14;126;117;5;271
"250500 Cubati";2;10;28;62;-;102
"250510 Cuité";1;20;91;144;-;256
"250523 Cuité de Mamanguape";1;5;28;52;4;90
"250520 Cuitegi";2;5;27;52;1;87
"250527 Curral de Cima";-;7;43;39;6;95
"250530 Curral Velho";-;-;7;19;-;26
"250535 Damião";1;1;28;36;-;66
"250540 Desterro";4;13;50;65;-;132
"250560 Diamante";4;8;36;44;-;92
"250570 Dona Inês";2;5;36;108;2;153
"250580 Duas Estradas";-;4;5;41;-;50
"250590 Emas";-;1;13;40;-;54
"250600 Esperança";11;27;151;341;1;531
"250610 Fagundes";3;9;81;76;2;171
"250620 Frei Martinho";-;2;6;23;-;31
"250625 Gado Bravo";4;6;48;77;1;136
"250630 Guarabira";18;28;175;626;5;852
"250640 Gurinhém";3;11;60;97;9;180
"250650 Gurjão";-;1;13;27;-;41
"250660 Ibiara";4;2;20;49;-;75
"250260 Igaracy";-;3;21;48;-;72
"250670 Imaculada";7;11;49;65;1;133
"250680 Ingá";9;9;88;129;-;235
"250690 Itabaiana";20;32;127;133;11;323
"250700 Itaporanga";8;12;132;173;1;326
"250710 Itapororoca";3;16;90;118;6;233
"250720 Itatuba";7;13;64;80;2;166
"250730 Jacaraú";1;13;58;132;7;211
"250740 Jericó";4;9;34;54;2;103
"250750 João Pessoa";238;847;3168;6687;701;11641
"251365 Joca Claudino";-;1;9;20;-;30
"250760 Juarez Távora";3;9;52;67;1;132
"250770 Juazeirinho";5;9;80;235;-;329
"250780 Junco do Seridó";3;6;26;69;-;104
"250790 Juripiranga";6;16;70;92;3;187
"250800 Juru";2;11;72;51;-;136
"250810 Lagoa";1;7;15;48;1;72
"250820 Lagoa de Dentro";2;8;24;77;2;113
"250830 Lagoa Seca";17;19;143;257;2;438
"250840 Lastro";-;1;24;24;-;49
"250850 Livramento";1;8;28;54;-;91
"250855 Logradouro";3;-;8;39;-;50
"250860 Lucena";4;26;99;106;9;244
"250870 Mãe d'Água";2;2;13;33;-;50
"250880 Malta";2;10;19;31;-;62
"250890 Mamanguape";16;54;296;409;23;798
"250900 Manaíra";3;15;65;104;-;187
"250905 Marcação";1;7;45;100;2;155
"250910 Mari";2;14;77;158;14;265
"250915 Marizópolis";-;7;30;41;1;79
"250920 Massaranduba";5;15;63;110;1;194
"250930 Mataraca";1;15;58;77;11;162
"250933 Matinhas";1;6;20;43;1;71
"250937 Mato Grosso";1;2;4;23;-;30
"250939 Maturéia";2;2;17;62;-;83
"250940 Mogeiro";8;9;59;105;2;183
"250950 Montadas";1;2;11;64;1;79
"250960 Monte Horebe";2;1;23;63;-;89
"250970 Monteiro";5;30;157;275;2;469
"250980 Mulungu";3;12;61;46;3;125
"250990 Natuba";2;3;46;87;-;138
"251000 Nazarezinho";-;1;26;61;1;89
"251010 Nova Floresta";3;8;54;91;-;156
"251020 Nova Olinda";3;7;26;70;-;106
"251030 Nova Palmeira";-;-;4;41;-;45
"251040 Olho d'Água";2;8;27;54;-;91
"251050 Olivedos";-;2;16;24;-;42
"251060 Ouro Velho";-;2;14;34;-;50
"251065 Parari";1;2;11;11;-;25
"251070 Passagem";3;2;8;23;-;36
"251080 Patos";33;91;408;980;6;1518
"251090 Paulista";2;11;42;115;-;170
"251100 Pedra Branca";-;-;25;27;1;53
"251110 Pedra Lavrada";1;2;16;82;-;101
"251120 Pedras de Fogo";14;20;166;279;9;488
"251272 Pedro Régis";-;7;36;37;4;84
"251130 Piancó";5;12;71;126;1;215
"251140 Picuí";5;6;49;227;-;287
"251150 Pilar";2;12;85;88;6;193
"251160 Pilões";2;9;55;91;1;158
"251170 Pilõezinhos";-;-;19;53;2;74
"251180 Pirpirituba";2;9;26;90;6;133
"251190 Pitimbu";3;37;129;91;14;274
"251200 Pocinhos";5;6;68;205;1;285
"251203 Poço Dantas";1;3;28;42;-;74
"251207 Poço de José de Moura";-;6;15;34;-;55
"251210 Pombal";3;7;29;390;1;430
"251220 Prata";-;3;21;36;-;60
"251230 Princesa Isabel";1;8;60;287;2;358
"251240 Puxinanã";3;11;64;116;-;194
"251250 Queimadas";20;24;166;443;2;655
"251260 Quixabá";-;6;11;9;-;26
"251270 Remígio";7;31;97;140;2;277
"251274 Riachão";1;1;12;41;-;55
"251275 Riachão do Bacamarte";-;7;17;38;-;62
"251276 Riachão do Poço";1;8;27;26;3;65
"251278 Riacho de Santo Antônio";-;3;14;25;-;42
"251280 Riacho dos Cavalos";5;8;39;62;1;115
"251290 Rio Tinto";10;38;154;126;20;348
"251300 Salgadinho";1;4;18;24;-;47
"251310 Salgado de São Félix";4;6;40;79;2;131
"251315 Santa Cecília";1;5;24;59;-;89
"251320 Santa Cruz";2;4;25;44;-;75
"251330 Santa Helena";1;2;16;55;-;74
"251335 Santa Inês";1;3;37;19;-;60
"251340 Santa Luzia";3;8;37;156;4;208
"251370 Santa Rita";96;216;1011;1006;54;2383
"251380 Santa Teresinha";1;-;11;56;-;68
"251350 Santana de Mangueira";3;2;24;38;-;67
"251360 Santana dos Garrotes";-;1;35;31;-;67
"251385 Santo André";-;-;8;22;-;30
"251392 São Bentinho";-;1;12;49;-;62
"251390 São Bento";3;27;118;309;3;460
"251396 São Domingos";-;4;9;33;-;46
"251394 São Domingos do Cariri";-;1;14;25;-;40
"251398 São Francisco";2;1;17;27;-;47
"251400 São João do Cariri";-;1;9;30;1;41
"250070 São João do Rio do Peixe";3;15;73;137;2;230
"251410 São João do Tigre";4;3;16;40;-;63
"251420 São José da Lagoa Tapada";1;8;32;73;-;114
"251430 São José de Caiana";1;6;54;34;-;95
"251440 São José de Espinharas";2;-;21;40;-;63
"251450 São José de Piranhas";3;24;127;109;2;265
"251455 São José de Princesa";2;-;15;31;-;48
"251460 São José do Bonfim";-;4;9;43;-;56
"251465 São José do Brejo do Cruz";-;-;1;23;-;24
"251470 São José do Sabugi";-;3;6;37;-;46
"251480 São José dos Cordeiros";1;-;15;45;-;61
"251445 São José dos Ramos";5;3;19;58;1;86
"251490 São Mamede";2;4;34;80;-;120
"251500 São Miguel de Taipu";4;7;55;38;-;104
"251510 São Sebastião de Lagoa de Roça";3;6;45;106;1;161
"251520 São Sebastião do Umbuzeiro";-;-;16;32;1;49
"251540 São Vicente do Seridó";2;7;37;126;2;174
"251530 Sapé";18;68;270;385;38;779
"251550 Serra Branca";4;9;32;108;1;154
"251560 Serra da Raiz";1;1;7;25;-;34
"251570 Serra Grande";-;6;21;14;-;41
"251580 Serra Redonda";4;6;52;39;-;101
"251590 Serraria";3;3;26;67;1;100
"251593 Sertãozinho";-;3;3;50;2;58
"251597 Sobrado";2;8;32;70;5;117
"251600 Solânea";4;27;162;220;1;414
"251610 Soledade";1;11;76;138;2;228
"251615 Sossêgo";-;3;25;24;-;52
"251620 Sousa";10;55;268;692;4;1029
"251630 Sumé";2;7;47;176;2;234
"251640 Tacima";3;3;25;68;-;99
"251650 Taperoá";3;7;64;142;7;223
"251660 Tavares";8;10;57;150;1;226
"251670 Teixeira";6;11;75;141;1;234
"251675 Tenório";2;1;8;41;-;52
"251680 Triunfo";1;2;29;72;-;104
"251690 Uiraúna";3;4;56;141;-;204
"251700 Umbuzeiro";2;4;31;90;-;127
"251710 Várzea";1;-;5;27;-;33
"251720 Vieirópolis";-;3;12;32;1;48
"250550 Vista Serrana";2;2;18;19;-;41
"251740 Zabelê";-;2;7;22;-;31
"250000 Município ignorado - PB";-;-;-;1;-;1
"Total";1604;3751;17980;34028;1378;58741
 Fonte: MS/SVS/DASIS - Sistema de Informações sobre Nascidos Vivos - SINASC
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
 Nota:
 
 Em 2011, houve uma mudança no conteúdo da Declaração de Nascidos Vivos, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Consolidação do Sistema de Informações sobre Nascidos Vivos - 2011".
