"Municipio";"Nascim_p/resid.mae"
"250010 Agua Branca";88
"250020 Aguiar";54
"250030 Alagoa Grande";405
"250040 Alagoa Nova";329
"250050 Alagoinha";230
"250053 Alcantil";88
"250057 Algodao de Jandaira";39
"250060 Alhandra";381
"250073 Amparo";35
"250077 Aparecida";101
"250080 Aracagi";200
"250090 Arara";151
"250100 Araruna";265
"250110 Areia";362
"250115 Areia de Baraunas";33
"250120 Areial";97
"250130 Aroeiras";288
"250135 Assuncao";67
"250140 Baia da Traicao";146
"250150 Bananeiras";283
"250153 Barauna";65
"250160 Barra de Santa Rosa";170
"250157 Barra de Santana";105
"250170 Barra de Sao Miguel";86
"250180 Bayeux";1395
"250190 Belem";240
"250200 Belem do Brejo do Cruz";104
"250205 Bernardino Batista";47
"250210 Boa Ventura";50
"250215 Boa Vista";85
"250220 Bom Jesus";38
"250230 Bom Sucesso";45
"250240 Bonito de Santa Fe";155
"250250 Boqueirao";254
"250270 Borborema";71
"250280 Brejo do Cruz";155
"250290 Brejo dos Santos";76
"250300 Caapora";443
"250310 Cabaceiras";70
"250320 Cabedelo";965
"250330 Cachoeira dos Indios";135
"250340 Cacimba de Areia";41
"250350 Cacimba de Dentro";208
"250355 Cacimbas";133
"250360 Caicara";105
"250370 Cajazeiras";892
"250375 Cajazeirinhas";58
"250380 Caldas Brandao";87
"250390 Camalau";85
"250400 Campina Grande";6098
"250403 Capim";105
"250407 Caraubas";59
"250410 Carrapateira";22
"250415 Casserengue";81
"250420 Catingueira";61
"250430 Catole do Rocha";394
"250435 Caturite";78
"250440 Conceicao";254
"250450 Condado";80
"250460 Conde";489
"250470 Congo";88
"250480 Coremas";190
"250485 Coxixola";14
"250490 Cruz do Espirito Santo";284
"250500 Cubati";102
"250510 Cuite";255
"250523 Cuite de Mamanguape";84
"250520 Cuitegi";109
"250527 Curral de Cima";76
"250530 Curral Velho";32
"250535 Damiao";66
"250540 Desterro";115
"250560 Diamante";72
"250570 Dona Ines";133
"250580 Duas Estradas";52
"250590 Emas";36
"250600 Esperanca";514
"250610 Fagundes";190
"250620 Frei Martinho";32
"250625 Gado Bravo";126
"250630 Guarabira";915
"250640 Gurinhem";214
"250650 Gurjao";33
"250660 Ibiara";67
"250260 Igaracy";68
"250670 Imaculada";140
"250680 Inga";283
"250690 Itabaiana";333
"250700 Itaporanga";339
"250710 Itapororoca";244
"250720 Itatuba";166
"250730 Jacarau";213
"250740 Jerico";97
"250750 Joao Pessoa";11549
"251365 Joca Claudino";32
"250760 Juarez Tavora";114
"250770 Juazeirinho";300
"250780 Junco do Serido";112
"250790 Juripiranga";188
"250800 Juru";118
"250810 Lagoa";61
"250820 Lagoa de Dentro";110
"250830 Lagoa Seca";432
"250840 Lastro";45
"250850 Livramento";86
"250855 Logradouro";46
"250860 Lucena";214
"250870 Mae d'Agua";43
"250880 Malta";86
"250890 Mamanguape";711
"250900 Manaira";169
"250905 Marcacao";160
"250910 Mari";277
"250915 Marizopolis";98
"250920 Massaranduba";202
"250930 Mataraca";139
"250933 Matinhas";54
"250937 Mato Grosso";23
"250939 Matureia";83
"250940 Mogeiro";179
"250950 Montadas";94
"250960 Monte Horebe";67
"250970 Monteiro";491
"250980 Mulungu";137
"250990 Natuba";93
