 Nascidos vivos - Paraíba
Nascim p/resid.mãe por Município
Período:2012
"Município";"Nascim_p/resid.mãe"
"250010 Água Branca";106
"250020 Aguiar";51
"250030 Alagoa Grande";410
"250040 Alagoa Nova";281
"250050 Alagoinha";223
"250053 Alcantil";85
"250057 Algodão de Jandaíra";39
"250060 Alhandra";404
"250073 Amparo";44
"250077 Aparecida";100
"250080 Araçagi";231
"250090 Arara";158
"250100 Araruna";242
"250110 Areia";355
"250115 Areia de Baraúnas";25
"250120 Areial";112
"250130 Aroeiras";276
"250135 Assunção";66
"250140 Baía da Traição";171
"250150 Bananeiras";285
"250153 Baraúna";72
"250160 Barra de Santa Rosa";175
"250157 Barra de Santana";109
"250170 Barra de São Miguel";76
"250180 Bayeux";1309
"250190 Belém";225
"250200 Belém do Brejo do Cruz";83
"250205 Bernardino Batista";53
"250210 Boa Ventura";59
"250215 Boa Vista";112
"250220 Bom Jesus";33
"250230 Bom Sucesso";51
"250240 Bonito de Santa Fé";165
"250250 Boqueirão";267
"250270 Borborema";77
"250280 Brejo do Cruz";163
"250290 Brejo dos Santos";99
"250300 Caaporã";387
"250310 Cabaceiras";61
"250320 Cabedelo";906
"250330 Cachoeira dos Índios";119
"250340 Cacimba de Areia";31
"250350 Cacimba de Dentro";231
"250355 Cacimbas";134
"250360 Caiçara";103
"250370 Cajazeiras";912
"250375 Cajazeirinhas";54
"250380 Caldas Brandão";69
"250390 Camalaú";64
"250400 Campina Grande";6199
"250403 Capim";99
"250407 Caraúbas";59
"250410 Carrapateira";27
"250415 Casserengue";86
"250420 Catingueira";74
"250430 Catolé do Rocha";401
"250435 Caturité";83
"250440 Conceição";220
"250450 Condado";105
"250460 Conde";458
"250470 Congo";104
"250480 Coremas";222
"250485 Coxixola";22
"250490 Cruz do Espírito Santo";262
"250500 Cubati";90
"250510 Cuité";250
"250523 Cuité de Mamanguape";79
"250520 Cuitegi";101
"250527 Curral de Cima";89
"250530 Curral Velho";23
"250535 Damião";65
"250540 Desterro";120
"250560 Diamante";72
"250570 Dona Inês";151
"250580 Duas Estradas";63
"250590 Emas";33
"250600 Esperança";521
"250610 Fagundes";186
"250620 Frei Martinho";30
"250625 Gado Bravo";100
"250630 Guarabira";862
"250640 Gurinhém";173
"250650 Gurjão";46
"250660 Ibiara";89
"250260 Igaracy";58
"250670 Imaculada";168
"250680 Ingá";219
"250690 Itabaiana";338
