"Municipio";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"Total"
"250010 Agua Branca";-;1;1;2
"250030 Alagoa Grande";8;1;5;14
"250040 Alagoa Nova";3;1;1;5
"250050 Alagoinha";-;-;2;2
"250057 Algodao de Jandaira";3;-;-;3
"250060 Alhandra";1;1;1;3
"250090 Arara";2;-;1;3
"250100 Araruna";4;1;2;7
"250110 Areia";3;2;1;6
"250115 Areia de Baraunas";-;-;1;1
"250120 Areial";1;2;-;3
"250130 Aroeiras";3;2;1;6
"250135 Assuncao";-;1;-;1
"250140 Baia da Traicao";-;1;1;2
"250150 Bananeiras";3;1;-;4
"250153 Barauna";-;-;1;1
"250160 Barra de Santa Rosa";1;1;-;2
"250157 Barra de Santana";1;1;2;4
"250180 Bayeux";12;8;5;25
"250190 Belem";1;-;-;1
"250200 Belem do Brejo do Cruz";1;1;-;2
"250205 Bernardino Batista";2;-;-;2
"250210 Boa Ventura";1;-;-;1
"250215 Boa Vista";-;-;1;1
"250220 Bom Jesus";1;1;-;2
"250240 Bonito de Santa Fe";3;-;1;4
"250250 Boqueirao";4;-;3;7
"250280 Brejo do Cruz";1;1;-;2
"250290 Brejo dos Santos";1;-;-;1
"250300 Caapora";4;-;1;5
"250310 Cabaceiras";1;-;-;1
"250320 Cabedelo";6;3;1;10
"250330 Cachoeira dos Indios";3;-;1;4
"250350 Cacimba de Dentro";5;1;-;6
"250355 Cacimbas";2;-;1;3
"250360 Caicara";1;-;-;1
"250370 Cajazeiras";9;2;9;20
"250380 Caldas Brandao";-;-;1;1
"250400 Campina Grande";53;24;18;95
"250403 Capim";1;-;1;2
"250407 Caraubas";1;-;-;1
"250415 Casserengue";1;-;2;3
"250420 Catingueira";1;1;-;2
"250430 Catole do Rocha";2;2;2;6
"250435 Caturite";-;-;3;3
"250440 Conceicao";1;1;1;3
"250450 Condado";2;-;-;2
"250460 Conde";2;-;1;3
"250470 Congo";-;1;-;1
"250480 Coremas";3;2;-;5
"250490 Cruz do Espirito Santo";1;-;2;3
"250510 Cuite";1;3;-;4
"250520 Cuitegi";-;-;1;1
"250527 Curral de Cima";-;-;1;1
"250540 Desterro";2;-;1;3
"250560 Diamante";-;1;1;2
"250570 Dona Ines";3;-;-;3
"250590 Emas";-;-;1;1
"250600 Esperanca";2;1;1;4
"250610 Fagundes";2;-;-;2
"250630 Guarabira";4;3;3;10
"250640 Gurinhem";1;1;-;2
"250670 Imaculada";-;1;1;2
"250680 Inga";-;1;1;2
"250690 Itabaiana";1;1;1;3
"250700 Itaporanga";3;2;4;9
"250710 Itapororoca";-;-;4;4
"250720 Itatuba";-;-;1;1
"250730 Jacarau";2;1;1;4
"250740 Jerico";2;-;-;2
"250750 Joao Pessoa";60;27;57;144
"250770 Juazeirinho";4;2;5;11
"250780 Junco do Serido";1;-;2;3
"250790 Juripiranga";1;1;2;4
"250800 Juru";-;-;1;1
"250820 Lagoa de Dentro";2;1;1;4
"250830 Lagoa Seca";2;3;1;6
"250840 Lastro";-;-;1;1
"250850 Livramento";3;2;-;5
"250860 Lucena";1;-;1;2
"250870 Mae d'Agua";-;1;1;2
"250880 Malta";1;-;-;1
"250890 Mamanguape";7;3;5;15
"250900 Manaira";3;-;1;4
"250910 Mari";1;-;-;1
"250915 Marizopolis";1;-;-;1
"250920 Massaranduba";4;-;1;5
"250939 Matureia";5;1;1;7
"250940 Mogeiro";2;1;-;3
"250950 Montadas";-;1;-;1
"250960 Monte Horebe";1;-;-;1
"250970 Monteiro";3;-;1;4
"250980 Mulungu";-;1;-;1
"250990 Natuba";1;-;-;1
"251000 Nazarezinho";-;-;1;1
"251010 Nova Floresta";-;-;1;1
"251030 Nova Palmeira";1;-;-;1
"251060 Ouro Velho";2;-;-;2
"251080 Patos";15;3;6;24
"251090 Paulista";1;1;1;3
"251100 Pedra Branca";1;-;-;1
"251110 Pedra Lavrada";-;-;1;1
"251120 Pedras de Fogo";2;1;2;5
"251272 Pedro Regis";1;-;-;1
"251130 Pianco";-;-;1;1
"251140 Picui";1;1;1;3
"251150 Pilar";1;1;3;5
"251160 Piloes";-;-;1;1
"251180 Pirpirituba";1;-;-;1
"251190 Pitimbu";1;2;3;6
"251200 Pocinhos";1;-;1;2
"251203 Poco Dantas";-;-;1;1
"251207 Poco de Jose de Moura";2;-;-;2
"251210 Pombal";7;1;-;8
"251220 Prata";1;1;-;2
"251230 Princesa Isabel";5;2;1;8
"251240 Puxinana";2;-;2;4
"251250 Queimadas";4;-;3;7
"251270 Remigio";4;-;-;4
"251280 Riacho dos Cavalos";1;-;-;1
"251290 Rio Tinto";1;-;2;3
"251310 Salgado de Sao Felix";-;1;-;1
"251315 Santa Cecilia";2;1;1;4
"251320 Santa Cruz";1;-;-;1
"251340 Santa Luzia";5;-;2;7
"251370 Santa Rita";10;4;9;23
"251385 Santo Andre";-;1;-;1
"251392 Sao Bentinho";1;-;-;1
"251390 Sao Bento";2;1;2;5
"251394 Sao Domingos do Cariri";1;-;-;1
"250070 Sao Joao do Rio do Peixe";3;-;1;4
"251410 Sao Joao do Tigre";2;-;3;5
"251420 Sao Jose da Lagoa Tapada";1;-;-;1
"251430 Sao Jose de Caiana";1;-;1;2
"251440 Sao Jose de Espinharas";1;-;-;1
"251450 Sao Jose de Piranhas";3;-;1;4
"251460 Sao Jose do Bonfim";-;-;1;1
"251470 Sao Jose do Sabugi";-;1;-;1
"251480 Sao Jose dos CordeirJose do Bonfim";-;-;1;1
"251470 Sao Jose do Sabugi";-;1;-;1
"251480 Sao Jose dos Cordeiros";1;-;1;2
"251490 Sao Mamede";1;-;-;1
"251510 Sao Sebastiao de Lagoa de Roca";1;-;-;1
"251540 Sao Vicente do Serido";4;2;1;7
"251530 Sape";4;3;3;10
"251550 Serra Branca";2;1;-;3
"251570 Serra Grande";4;-;-;4
"251590 Serraria";1;-;-;1
"251593 Sertaozinho";-;1;-;1
"251597 Sobrado";-;-;1;1
"251600 Solanea";1;1;1;3
"251610 Soledade";2;2;1;5
"251615 Sossego";1;-;-;1
"251620 Sousa";9;6;5;20
"251630 Sume";6;1;1;8
"251650 Taperoa";4;1;1;6
"251660 Tavares";4;-;-;4
"251670 Teixeira";3;-;3;6
"251680 Triunfo";1;-;1;2
"251690 Uirauna";1;2;1;4
"251700 Umbuzeiro";-;4;-;4
"251710 Varzea";1;-;-;1
"251740 Zabele";2;-;-;2
"250000 Municipio ignorado - PB";-;-;1;1
"Total";426;169;251;846
