 Óbitos infantis - Paraíba
Óbitos p/Residênc por Município e Faixa etária 1
Período:2011
"Município";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"Total"
"250010 Água Branca";-;1;1;2
"250030 Alagoa Grande";8;1;5;14
"250040 Alagoa Nova";3;1;1;5
"250050 Alagoinha";-;-;2;2
"250057 Algodão de Jandaíra";3;-;-;3
"250060 Alhandra";1;1;1;3
"250090 Arara";2;-;1;3
"250100 Araruna";4;1;2;7
"250110 Areia";3;2;1;6
"250115 Areia de Baraúnas";-;-;1;1
"250120 Areial";1;2;-;3
"250130 Aroeiras";3;2;1;6
"250135 Assunção";-;1;-;1
"250140 Baía da Traição";-;1;1;2
"250150 Bananeiras";3;1;-;4
"250153 Baraúna";-;-;1;1
"250160 Barra de Santa Rosa";1;1;-;2
"250157 Barra de Santana";1;1;2;4
"250180 Bayeux";12;8;5;25
"250190 Belém";1;-;-;1
"250200 Belém do Brejo do Cruz";1;1;-;2
"250205 Bernardino Batista";2;-;-;2
"250210 Boa Ventura";1;-;-;1
"250215 Boa Vista";-;-;1;1
"250220 Bom Jesus";1;1;-;2
"250240 Bonito de Santa Fé";3;-;1;4
"250250 Boqueirão";4;-;3;7
"250280 Brejo do Cruz";1;1;-;2
"250290 Brejo dos Santos";1;-;-;1
"250300 Caaporã";4;-;1;5
"250310 Cabaceiras";1;-;-;1
"250320 Cabedelo";6;3;1;10
"250330 Cachoeira dos Índios";3;-;1;4
"250350 Cacimba de Dentro";5;1;-;6
"250355 Cacimbas";2;-;1;3
"250360 Caiçara";1;-;-;1
"250370 Cajazeiras";9;2;9;20
"250380 Caldas Brandão";-;-;1;1
"250400 Campina Grande";53;24;18;95
"250403 Capim";1;-;1;2
"250407 Caraúbas";1;-;-;1
"250415 Casserengue";1;-;2;3
"250420 Catingueira";1;1;-;2
"250430 Catolé do Rocha";2;2;2;6
"250435 Caturité";-;-;3;3
"250440 Conceição";1;1;1;3
"250450 Condado";2;-;-;2
"250460 Conde";2;-;1;3
"250470 Congo";-;1;-;1
"250480 Coremas";3;2;-;5
"250490 Cruz do Espírito Santo";1;-;2;3
"250510 Cuité";1;3;-;4
"250520 Cuitegi";-;-;1;1
"250527 Curral de Cima";-;-;1;1
"250540 Desterro";2;-;1;3
"250560 Diamante";-;1;1;2
"250570 Dona Inês";3;-;-;3
"250590 Emas";-;-;1;1
"250600 Esperança";2;1;1;4
"250610 Fagundes";2;-;-;2
"250630 Guarabira";4;3;3;10
"250640 Gurinhém";1;1;-;2
"250670 Imaculada";-;1;1;2
"250680 Ingá";-;1;1;2
"250690 Itabaiana";1;1;1;3
"250700 Itaporanga";3;2;4;9
"250710 Itapororoca";-;-;4;4
"250720 Itatuba";-;-;1;1
"250730 Jacaraú";2;1;1;4
"250740 Jericó";2;-;-;2
"250750 João Pessoa";60;27;57;144
"250770 Juazeirinho";4;2;5;11
"250780 Junco do Seridó";1;-;2;3
"250790 Juripiranga";1;1;2;4
"250800 Juru";-;-;1;1
"250820 Lagoa de Dentro";2;1;1;4
"250830 Lagoa Seca";2;3;1;6
"250840 Lastro";-;-;1;1
"250850 Livramento";3;2;-;5
"250860 Lucena";1;-;1;2
"250870 Mãe d'Água";-;1;1;2
"250880 Malta";1;-;-;1
"250890 Mamanguape";7;3;5;15
"250900 Manaíra";3;-;1;4
"250910 Mari";1;-;-;1
"250915 Marizópolis";1;-;-;1
"250920 Massaranduba";4;-;1;5
"250939 Maturéia";5;1;1;7
"250940 Mogeiro";2;1;-;3
