 Óbitos infantis - Paraíba
Óbitos p/Residênc por Município e Faixa etária 1
Período:2012
"Município";"0 a 6 dias";"7 a 27 dias";"28 a 364 dias";"Menor 1 ano (ign)";"Total"
"250010 Água Branca";1;-;-;-;1
"250030 Alagoa Grande";7;-;1;-;8
"250040 Alagoa Nova";7;1;-;-;8
"250050 Alagoinha";2;1;1;-;4
"250057 Algodão de Jandaíra";1;-;-;-;1
"250060 Alhandra";3;-;-;-;3
"250077 Aparecida";1;1;-;-;2
"250080 Araçagi";1;1;-;-;2
"250090 Arara";1;-;1;-;2
"250100 Araruna";1;-;5;-;6
"250110 Areia";2;1;1;-;4
"250120 Areial";3;-;-;-;3
"250130 Aroeiras";4;1;1;-;6
"250135 Assunção";4;-;-;-;4
"250140 Baía da Traição";-;-;2;-;2
"250150 Bananeiras";5;-;1;-;6
"250160 Barra de Santa Rosa";-;1;-;-;1
"250157 Barra de Santana";1;-;-;-;1
"250170 Barra de São Miguel";1;-;-;-;1
"250180 Bayeux";8;6;11;-;25
"250190 Belém";3;1;2;-;6
"250215 Boa Vista";1;1;-;-;2
"250220 Bom Jesus";-;-;1;-;1
"250230 Bom Sucesso";1;1;-;-;2
"250240 Bonito de Santa Fé";1;-;1;-;2
"250250 Boqueirão";3;1;1;-;5
"250300 Caaporã";3;-;3;-;6
"250310 Cabaceiras";2;1;-;-;3
"250320 Cabedelo";5;5;3;-;13
"250330 Cachoeira dos Índios";1;-;-;-;1
"250340 Cacimba de Areia";1;-;-;-;1
"250350 Cacimba de Dentro";2;1;-;-;3
"250355 Cacimbas";1;-;1;-;2
"250360 Caiçara";-;1;-;-;1
"250370 Cajazeiras";12;5;1;-;18
"250390 Camalaú";-;-;1;-;1
"250400 Campina Grande";51;16;15;-;82
"250403 Capim";1;-;-;-;1
"250407 Caraúbas";2;-;-;-;2
"250415 Casserengue";1;-;1;-;2
"250430 Catolé do Rocha";3;1;2;-;6
"250435 Caturité";1;-;-;-;1
"250440 Conceição";4;1;-;-;5
"250450 Condado";1;-;1;-;2
"250460 Conde";4;3;1;-;8
"250470 Congo";-;2;-;-;2
"250480 Coremas";3;-;3;-;6
"250490 Cruz do Espírito Santo";2;-;1;-;3
"250500 Cubati";3;-;-;-;3
"250510 Cuité";2;-;1;-;3
"250527 Curral de Cima";1;1;1;-;3
"250535 Damião";1;-;-;-;1
"250540 Desterro";2;-;1;-;3
"250560 Diamante";-;1;-;-;1
"250570 Dona Inês";-;-;1;-;1
"250580 Duas Estradas";1;-;-;-;1
"250600 Esperança";3;4;2;-;9
"250610 Fagundes";2;-;1;-;3
"250625 Gado Bravo";-;-;2;-;2
"250630 Guarabira";6;1;5;-;12
"250640 Gurinhém";-;1;-;-;1
"250660 Ibiara";1;-;-;-;1
"250670 Imaculada";2;-;1;-;3
"250680 Ingá";2;1;-;-;3
"250690 Itabaiana";2;-;-;-;2
"250700 Itaporanga";4;3;-;-;7
"250710 Itapororoca";2;2;-;1;5
"250720 Itatuba";1;-;1;-;2
"250730 Jacaraú";-;1;-;-;1
"250740 Jericó";2;-;-;-;2
"250750 João Pessoa";82;27;50;-;159
"250770 Juazeirinho";6;2;2;-;10
"250780 Junco do Seridó";1;-;-;-;1
"250790 Juripiranga";1;1;1;-;3
"250820 Lagoa de Dentro";-;1;1;-;2
"250830 Lagoa Seca";5;1;2;-;8
"250850 Livramento";-;1;-;-;1
"250890 Mamanguape";6;2;4;-;12
"250900 Manaíra";2;-;1;-;3
"250905 Marcação";1;-;2;-;3
"250910 Mari";2;-;-;-;2
"250915 Marizópolis";-;1;-;-;1
"250920 Massaranduba";4;2;1;-;7
"250939 Maturéia";-;1;-;-;1
"250940 Mogeiro";1;2;1;-;4
"250970 Monteiro";4;1;2;-;7
"250980 Mulungu";1;1;2;-;4
"250990 Natuba";2;-;1;-;3
"251000 Nazarezinho";2;2;-;-;4
"251010 Nova Floresta";1;1;-;-;2
"251020 Nova Olinda";-;1;-;-;1
"251040 Olho d'Água";3;1;-;-;4
"251050 Olivedos";1;-;1;-;2
"251060 Ouro Velho";1;-;-;-;1
"251080 Patos";12;6;3;-;21
"251090 Paulista";-;-;1;-;1
"251100 Pedra Branca";1;-;1;-;2
"251110 Pedra Lavrada";-;-;1;-;1
"251120 Pedras de Fogo";-;-;1;-;1
"251272 Pedro Régis";-;-;1;-;1
"251130 Piancó";2;-;2;-;4
"251140 Picuí";2;-;2;-;4
"251150 Pilar";2;-;1;-;3
"251160 Pilões";2;1;2;-;5
"251190 Pitimbu";2;1;-;-;3
"251200 Pocinhos";3;-;2;-;5
"251203 Poço Dantas";2;-;-;-;2
"251207 Poço de José de Moura";1;-;1;-;2
"251210 Pombal";1;-;2;-;3
"251230 Princesa Isabel";4;1;2;-;7
"251240 Puxinanã";1;-;2;-;3
"251250 Queimadas";4;2;5;-;11
"251270 Remígio";2;1;-;-;3
"251275 Riachão do Bacamarte";3;-;-;-;3
"251276 Riachão do Poço";1;-;-;-;1
"251280 Riacho dos Cavalos";3;-;1;-;4
"251290 Rio Tinto";2;3;1;-;6
"251300 Salgadinho";1;-;1;-;2
"251310 Salgado de São Félix";-;1;-;-;1
"251315 Santa Cecília";1;-;-;-;1
"251320 Santa Cruz";2;-;-;-;2
"251330 Santa Helena";1;-;-;-;1
"251340 Santa Luzia";-;2;-;-;2
"251370 Santa Rita";10;8;10;-;28
"251350 Santana de Mangueira";1;-;-;-;1
"251360 Santana dos Garrotes";1;-;-;-;1
"251392 São Bentinho";1;-;-;-;1
"251390 São Bento";4;-;1;-;5
"251394 São Domingos do Cariri";-;1;-;-;1
"251398 São Francisco";-;-;1;-;1
"251400 São João do Cariri";-;1;-;-;1
"250070 São João do Rio do Peixe";-;-;1;-;1
"251410 São João do Tigre";4;-;1;-;5
"251430 São José de Caiana";2;-;1;-;3
"251440 São José de Espinharas";1;-;-;-;1
"251450 São José de Piranhas";1;-;-;-;1
"251460 São José do Bonfim";1;-;-;-;1
"251470 São José do Sabugi";2;-;-;-;2
"251490 São Mamede";1;-;1;-;2
"251500 São Miguel de Taipu";1;-;2;-;3
"251540 São Vicente do Seridó";3;-;-;-;3
"251530 Sapé";4;1;5;-;10
"251550 Serra Branca";1;-;-;-;1
"251570 Serra Grande";1;-;1;-;2
"251597 Sobrado";1;-;1;-;2
"251600 Solânea";4;-;-;-;4
"251610 Soledade";1;2;1;-;4
"251620 Sousa";16;3;2;-;21
"251630 Sumé";3;1;1;-;5
"251650 Taperoá";3;-;2;-;5
"251660 Tavares";1;-;2;-;3
"251670 Teixeira";3;-;2;-;5
"251690 Uiraúna";1;-;2;-;3
"251720 Vieirópolis";1;-;-;-;1
"250000 Município ignorado - PB";1;-;-;-;1
"Total";454;151;218;1;824
 Fonte: MS/SVS/CGIAE - Sistema de Informações sobre Mortalidade - SIM
 Consulte o site da Secretaria Estadual de Saúde para mais informações.
 Nota:
 
 Em 2011, houve uma mudança no conteúdo da Declaração de Óbito, com maior detalhamento das informações coletadas. Para este ano, foram
 utilizados simultaneamente os dois formulários. Para mais detalhes sobre as mudanças ocorridas e os seus efeitos, veja o documento
 "Sistema de Informações sobre Mortalidade - SIM. Consolidação da base de dados de 2011".
 
